5776.91	7255.21	6059.02	6254.16	6039.76	5101.91	5365.28	6276.91	5404.34	7423.96	
5486.63	6550.69	6147.91	7144.79	4514.76	7304.34	5374.82	8506.77	6356.07	6596.35	
5940.28	7048.78	5523.09	5725.34	5746.53	4441.66	4924.31	7268.4	6319.27	7299.3	
5484.03	6699.82	5467.7	6859.54	4430.2	5044.79	4867.18	6900.34	5912.49	7134.2	
6654.52	7236.98	6883.85	7296.53	5748.96	4220.49	4870.31	6679.34	5194.62	7524.31	
5530.21	6929.52	5858.16	6699.65	4684.72	4911.63	3121.53	6203.99	5300	7153.82	
3627.95	5708.68	3890.62	4700	3849.31	3580.9	3121.87	5095.31	4996.35	5389.41	
6656.08	8573.09	6722.39	8588.37	6021.88	6441.14	4388.36	7567.36	5650.52	8111.98	
6006.43	7485.07	6197.22	6682.64	6254.51	6487.85	6012.5	8600.52	7172.74	8328.64	
6466.67	5984.9	6098.61	5898.78	5693.23	3933.85	5442.01	6761.81	6411.63	7390.45	
